"","subject","stream","orientation","efficacy","latency","precision","val","warnings","valGuessing","pLRtest"
"125","BF","Left","Canonical",0.593834281586655,0.342082210023289,0.933427055609836,270.245008285717,"None",332.694303485255,6.79627393093568e-27
"126","BF","Left","Inverted",0.41653867014817,0.94752870670074,0.551704921926177,283.114195524422,"None",329.447115169561,5.85978424846626e-20
"127","BF","Right","Canonical",0.351905238636213,0.991894002530559,0.555924560335239,299.020073980732,"None",333.268380773436,8.95634858493219e-15
"128","BF","Right","Inverted",0.21856817653166,0.431588242032,1.01714908317683,327.898780499906,"None",337.695735370691,0.000206020679026401
"129","BG","Left","Canonical",0.660179558255241,0.403715580211411,0.90420584964328,248.000288843475,"None",326.457316273862,8.49295146863107e-34
"130","BG","Left","Inverted",0.38431812795741,0.493011313784086,0.702423054754009,294.768206205191,"None",329.837034212117,3.98824591201465e-15
"131","BG","Right","Canonical",0.564389010870608,0.537922379177698,0.752370502320331,259.574500343654,"None",325.062490038849,3.33228395183934e-28
"132","BG","Right","Inverted",0.325767581056764,0.352060301419106,0.811486114501765,308.3964536418,"None",332.197437977065,2.58802396335501e-10
"133","BH","Left","Canonical",0.728129883681855,0.250262118532552,0.52228938987474,202.54724734305,"None",324.444668693344,1.43828657995692e-52
"134","BH","Left","Inverted",0.251138554377261,2.49529895158348,2.55552089621124,331.718671033793,"None",336.460366269678,0.023508715985278
"135","BH","Right","Canonical",0.239035050162293,0.225079930081314,0.531267563392966,313.942241597143,"None",332.108771469312,6.36739906140945e-08
"136","BH","Right","Inverted",0.667112263441358,0.142252712582018,0.761326678385563,237.856295239221,"None",325.118023417138,1.34291137191205e-37
"137","BI","Left","Canonical",0.687263851855275,0.322738447770532,0.801275101267044,236.598599886735,"None",327.233790799041,4.68939188713825e-39
"138","BI","Left","Inverted",0.247748779057439,0.857711632350357,0.613489846665176,315.340882413078,"None",332.943242545869,1.10276165137985e-07
"139","BI","Right","Canonical",0.357803332771432,0.390195985490585,0.897860106053548,309.140329715342,"None",335.381085512357,2.364713156741e-11
"140","BI","Right","Inverted",0.492313080772762,0.511825766822743,0.712482426777468,273.822183731385,"None",327.178295418763,5.59495137235493e-23
"141","BJ","Left","Canonical",0.852365640974984,0.623655453852461,0.501765910914654,155.200346073124,"None",319.142091920857,9.16479582443009e-71
"142","BJ","Left","Inverted",0.641312273728268,0.395011148884391,0.835612053512935,245.713045401294,"None",324.024313312099,9.81663076199226e-34
"143","BJ","Right","Canonical",0.686936599140402,0.545328792527662,0.594185409653017,218.668609783157,"None",322.772560124861,7.10376412388765e-45
"144","BJ","Right","Inverted",0.672734425190326,0.50663440326731,0.178282244246734,205.943325690418,"None",321.439280323592,8.44016108928567e-50
"145","BK","Left","Canonical",0.730622240735851,0.498261237671876,0.667140402589096,214.15699313703,"None",324.368346654346,1.62683158645374e-47
"146","BK","Left","Inverted",0.334811326209305,0.561112514027519,0.527870526328215,302.227433922346,"None",334.28793057698,7.73329678279684e-14
"147","BK","Right","Canonical",0.349178021455753,0.967263959925819,0.406358637878576,288.848120352016,"None",329.470525258937,1.65959348178816e-17
